City_name;Feminine;Plural;Frequency;NOM;GEN;GEN SUM;GEN % marked;GEN % marked rounded;NOM;DAT;DAT SUM;% DAT marked;DAT % marked rounded;NOM;INS;INS SUM;INS % marked;INS % marked rounded;NOM;LOC;LOC SUM;LOC % marked;LOC % marked rounded
Zagreb;0;0;505,99;88;14946;15034;99,4146601;99;1;299;300;99,66666667;100;4;234;238;98,31932773;98;11;2859;2870;99,61672474;100
Split;0;0;205,44;33;4515;4548;99,27440633;99;1;299;300;99,66666667;100;0;101;101;100;100;4;692;696;99,42528736;99
Rijekа;1;0;105,11;55;4057;4112;98,66245136;99;1;0;1;0;0;8;43;51;84,31372549;84;10;0;10;0;0
Zadar ;0;0;92,27;20;1767;1787;98,88080582;99;0;91;91;100;100;1;34;35;97,14285714;97;4;164;168;97,61904762;98
Vukovar;0;0;91,98;8;2204;2212;99,63833635;100;1;99;100;99;99;0;46;46;100;100;0;354;354;100;100
Osijek;0;0;76,49;23;4018;4041;99,43083395;99; -- ; -- ; -- ;100;100;0;66;66;100;100;4;922;926;99,56803456;100
Dubrovnik;0;0;63,67;3;297;300;99;99;0;10;10;100;100;1;13;14;92,85714286;93;0;26;26;100;100
Varaždin;0;0;62,66;8;2816;2824;99,71671388;100;1;128;129;99,2248062;99;1;38;39;97,43589744;97;55;394;449;87,75055679;88
Pula;1;0;62,15;20;1684;1704;98,82629108;99;2;51;53;96,22641509;96;10;21;31;67,74193548;68;11;276;287;96,16724739;96
Šibenik;0;0;54,7;12;1673;1685;99,28783383;99;1;50;51;98,03921569;98;0;33;33;100;100;2;85;87;97,70114943;98
Karlovac;0;0;51;12;1734;1746;99,31271478;99; --; --; --;100;100;0;55;55;100;100;0;263;263;100;100
Virovitica;0;0;45,73;5;226;231;97,83549784;98;0;14;14;100;100;1;10;11;90,90909091;91;3;50;53;94,33962264;94
Knin;0;0;31,01;5;659;664;99,24698795;99;1;29;30;96,66666667;97;0;12;12;100;100;0;139;139;100;100
Koprivnica;0;0;23,05;2;457;459;99,56427015;100;0;17;17;100;100;0;7;7;100;100;2;386;388;99,48453608;99
Pag;0;0;22,13;6;1153;1159;99,48231234;99;0;59;59;100;100;0;20;20;100;100;0;215;215;100;100
Požega;0;0;22,05;7;390;397;98,23677582;98;0;20;20;100;100;0;14;14;100;100;0;89;89;100;100
Samobor;0;0;21,88;23;1136;1159;98,01553063;98;0;25;25;100;100;5;12;17;70,58823529;71;2;86;88;97,72727273;98
