City_name;Features;Frequency;NOM;GEN;SUM GEN;GEN % marked;GEN % marked rounded;NOM;DAT;SUM DAT;DAT % marked;DAT % marked rounded;NOM;INS;SUM INS;INS % marked;INS % marked rounded;NOM;LOC;SUM INS;INS % marked;INS % marked rounded
Krakow;;133,32;1417;5678;7095;80,02818887;80;67;12;79;15,18987342;15;100;42;142;29,57746479;30;1054;439;1493;29,4038848;29
Poznań;;109,07;1342;5419;6761;80,15086526;80;48;10;58;17,24137931;17;127;44;171;25,73099415;26;1018;199;1217;16,35168447;16
Łodz;;0,06;9;3370;3379;99,73364901;100;0;13;13;100;100;3;15;18;83,33333333;83;578;895;1473;60,76035302;61
Warszawa;f;207,95;1812;2719;4531;60,00882807;60;36;20;56;35,71428571;36;64;26;90;28,88888889;29;1701;127;1828;6,947483589;7
Wrocław;;109,63;1571;2322;3893;59,6455176;60;53;4;57;7,01754386;7;92;53;145;36,55172414;37;1614;186;1800;10,33333333;10
Gdańsk;;71,08;858;2519;3377;74,59283388;75;77;5;82;6,097560976;6;121;17;138;12,31884058;12;333;288;621;46,37681159;46
Lublin;;48,71;1273;1688;2961;57,00776765;57;22;6;28;21,42857143;21;40;16;56;28,57142857;29;408;323;731;44,18604651;44
Szczecin;;49,13;986;1627;2613;62,2655951;62;30;0;30;0;0;75;15;90;16,66666667;17;343;170;513;33,13840156;33
Rzeszów;;30,17;506;1573;2079;75,66137566;76;12;0;12;0;0;33;0;33;0;0;156;0;156;0;0
Opole;;18,84;411;1340;1751;76,52769846;77;11;0;11;0;0;50;3;53;5,660377358;6;136;116;252;46,03174603;46
Częstochowa;f;23,33;306;1144;1450;78,89655172;79;6;0;6;0;0;40;4;44;9,090909091;9;162;41;203;20,19704433;20
Tychy;;11,31;1045;111;1156;9,602076125;10;9;0;9;0;0;32;0;32;0;0;153;3;156;1,923076923;2
Białegostok;;0,01;0;935;935;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gdyna;f;0,01;425;926;1351;68,54182087;69;12;2;14;14,28571429;14;56;3;59;5,084745763;5;318;29;347;8,357348703;8
Przemyśl;;8,95;107;906;1013;89,43731491;89;7;0;7;0;0;3;5;8;62,5;63;31;57;88;64,77272727;65
Łomża;f;8,68;504;794;1298;61,17103236;61;25;2;27;7,407407407;7;27;2;29;6,896551724;7;110;41;151;27,15231788;27
Tczew;;6,79;116;776;892;86,9955157;87;14;0;14;0;0;14;5;19;26,31578947;26;32;60;92;65,2173913;65
Słupsk;;9,92;212;746;958;77,87056367;78;11;0;11;0;0;27;5;32;15,625;16;55;50;105;47,61904762;48
Gniezn;;9,9;59;714;773;92,36739974;92;6;3;9;33,33333333;33;13;16;29;55,17241379;55;17;1;18;5,555555556;6
Sosnowc;;0,1;694;228;922;24,72885033;25;0;1;1;100;100;4;3;7;42,85714286;43;0;48;48;100;100
Olsztyn;;26,4;656;455;1111;40,95409541;41;10;1;11;9,090909091;9;21;2;23;8,695652174;9;149;53;202;26,23762376;26
Piła;f;11,91;126;638;764;83,5078534;84;4;0;4;0;0;9;4;13;30,76923077;31;71;8;79;10,12658228;10
Gorzów;;12,75;164;564;728;77,47252747;77;9;0;9;0;0;15;0;15;0;0;60;0;60;0;0
Lędziny;;0,72;557;1;558;0,17921147;0;1;0;1;0;0;3;0;3;0;0;9;0;9;0;0
Kołobrzeg;;8,55;469;80;549;14,571949;15;11;1;12;8,333333333;8;14;2;16;12,5;13;104;17;121;14,04958678;14
Suwałki;;6,65;441;152;593;25,63237774;26;1;0;1;0;0;30;0;30;0;0;78;3;81;3,703703704;4
Lębork;;3,09;58;441;499;88,37675351;88;2;0;2;0;0;2;1;3;33,33333333;33;22;11;33;33,33333333;33
Włocławek;;9,72;436;395;831;47,53309266;48;7;0;7;0;0;10;0;10;0;0;55;0;55;0;0
Jacek;;44,2;436;211;647;32,61205564;33;NA;NA;NA;NA;NA;2;0;NA;NA;NA;8;0;NA;NA;NA
Zamość;;9,15;435;416;851;48,88366627;49;6;0;6;0;0;12;0;12;0;0;35;1;36;2,777777778;3
Bytom;;12,76;295;427;722;59,14127424;59;17;0;17;0;0;26;6;32;18,75;19;64;17;81;20,98765432;21
Wejherowo;;3,84;77;293;370;79,18918919;79;1;0;1;0;0;4;5;9;55,55555556;56;21;17;38;44,73684211;45
Chorzów;;12,53;287;300;587;51,10732538;51;22;0;22;0;0;17;0;17;0;0;58;0;58;0;0
Giżycko;;3,72;111;279;390;71,53846154;72;6;5;11;45,45454545;45;5;0;5;0;0;22;16;38;42,10526316;42
Będzin;;3,98;110;276;386;71,50259067;72;1;1;2;50;50;7;2;9;22,22222222;22;54;3;57;5,263157895;5
Głogów;;4,98;129;269;398;67,5879397;68;7;0;7;0;0;1;0;1;0;0;54;0;54;0;0
Barczewo;;0,43;25;15;40;37,5;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bojanowo;;0,23;8;21;29;72,4137931;72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Braniewo;;1,46;35;128;163;78,52760736;79;NA;NA;NA;NA;NA;0;4;4;100;4;8;9;17;52,94117647;53
Bukowno;;0,65;38;25;63;39,68253968;40;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0
Wielichowo;;0,24;6;8;14;57,14285714;57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;1;10;10;10
Węgorzewo;;1,34;29;31;60;51,66666667;52;NA;NA;NA;NA;NA;2;0;2;0;0;10;0;10;0;0
Gniezno;;9,64;59;714;773;92,36739974;92;6;3;9;33,33333333;33;13;16;29;55,17241379;55;17;58;75;77,33333333;77
Żarki;;1,93;35;0;35;0;0;NA;NA;NA;NA;NA;1;0;1;0;0;9;0;9;0;0
Zduny;;0,51;17;0;17;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;4;25;25
Kalety;;0,11;114;1;115;0,869565217;1;NA;NA;NA;NA;NA;3;0;3;0;0;16;1;17;5,882352941;6
Kowary;;1,03;75;4;79;5,063291139;5;4;0;4;0;0;4;0;4;0;0;18;1;19;5,263157895;5
Łapy;;1,22;117;4;121;3,305785124;3;NA;NA;NA;NA;NA;7;0;7;0;0;28;0;28;0;0
Pionki;;1,14;126;0;126;0;0;NA;NA;NA;NA;NA;3;0;3;0;0;9;0;9;0;0
