City_name;Plural;Neuter;Feminine;freq;NOM;GEN;GEN SUM;GEN % marked;GEN % marked rounded;NOM;DAT;DAT SUM;DAT % marked;DAT % marked rounded;NOM;INS;INS SUM;INS % marked;INS % marked rounded;NOM;LOC;LOC SUM;LOC % marked;LOC % marked rounded
Ljubljana;0;0;1;434,9;688;1289;1977;65,19979767;65;45;3;48;6,25;6;60;33;93;35,48387097;35;251;16;267;5,992509363;6
Maribor;0;0;0;183,38;971;86;1057;8,136234626;8;34;2;36;5,555555556;6;28;4;32;12,5;13;290;1;291;0,343642612;0
Celje;0;1;0;115,73;257;179;436;41,05504587;41;9;2;11;18,18181818;18;12;1;13;7,692307692;8;84;27;111;24,32432432;24
Kranj;0;0;0;91;167;109;276;39,49275362;39;2;1;3;33,33333333;33;7;1;8;12,5;13;38;12;50;24;24
Velenje;0;1;0;53,59;197;40;237;16,87763713;17;8;0;8;0;0;11;1;12;8,333333333;8;99;0;99;0;0
Koper;0;0;0;48,62;261;11;272;4,044117647;4;5;0;5;0;0;14;0;14;0;0;67;0;67;0;0
Ptuj;0;0;0;41,62;190;105;295;35,59322034;36;10;4;14;28,57142857;29;12;1;13;7,692307692;8;66;0;66;0;0
Kamnik;0;0;0;34,36;156;25;181;13,8121547;14;6;2;8;25;25;7;4;11;36,36363636;36;43;2;45;4,444444444;4
Piran;0;0;0;24,6;210;5;215;2,325581395;2;7;0;7;0;0;6;0;6;0;0;53;1;54;1,851851852;2
Izola;0;0;1;20,41;35;17;52;32,69230769;33;NA;NA;NA;NA;NA;3;0;3;0;0;13;4;17;23,52941176;24
Litija  ;0;0;1;16,83;18;17;35;48,57142857;49;3;0;3;0;0;2;0;2;0;0;37;1;38;2,631578947;3
Ljutomer;0;0;0;16,41;81;3;84;3,571428571;4;NA;NA;NA;NA;NA;10;0;10;0;0;45;0;45;0;0
Idrija;0;0;1;15,62;31;43;74;58,10810811;58;1;0;1;0;0;5;1;6;16,66666667;17;12;3;15;20;20
Lendava;0;0;1;13,79;33;10;43;23,25581395;23;NA;NA;NA;NA;NA;2;0;2;0;0;25;0;25;0;0
Grosuplje;0;1;0;13,12;31;3;34;8,823529412;9;1;0;1;0;0;1;0;1;0;0;17;0;17;0;0
Sevnica;0;0;1;12,19;11;5;16;31,25;31;1;0;1;0;0;NA;NA;NA;NA;NA;10;0;10;0;0
Jesenice;1;0;0;11,62;42;45;87;51,72413793;52;NA;NA;NA;NA;NA;1;0;1;0;0;10;0;10;0;0
Ribnica;0;0;1;11,51;15;2;17;11,76470588;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;0;11;0;0
Vrhnika;0;0;1;9,77;6;4;10;40;40;NA;NA;NA;NA;NA;1;1;2;50;50;3;0;3;0;0
Trbovlje;0;0;0;9,56;22;0;22;0;0;NA;NA;NA;NA;NA;3;0;3;0;0;8;0;8;0;0
Domžale;0;0;0;7,73;57;0;57;0;0;2;0;2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tolmin;0;0;0;6,44;43;0;43;0;0;1;0;1;0;0;2;0;2;0;0;12;0;12;0;0
Žalec;0;0;0;5,17;24;0;24;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;0;6;0;0
Črnomelj;0;0;0;4,34;27;0;27;0;0;NA;NA;NA;NA;NA;1;0;1;0;0;11;0;11;0;0
Šentjur;0;0;0;0,11;77;1;78;1,282051282;1;3;0;3;0;0;NA;NA;NA;NA;NA;21;0;21;0;0
Vrhnika;0;0;1;10,96;6;4;10;40;40;1;0;1;0;0;1;0;1;0;0;2;0;2;0;0
Krško;0;0;0;23,67;186;0;186;0;0;4;0;4;0;0;3;0;3;0;0;33;0;33;0;0
Logatec;0;0;0;4,37;9;0;9;0;0;2;0;2;0;0;NA;NA;NA;NA;NA;10;0;10;0;0
Hrastnik;0;0;0;9,42;6;0;6;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;50;50
Žalec;0;0;0;5,15;24;0;24;0;0;2;0;2;0;0;NA;NA;NA;NA;NA;4;0;4;0;0
Črnomelj;0;0;0;4,28;27;0;27;0;0;2;0;2;0;0;1;0;1;0;0;9;0;9;0;0
